type,asin,item_url,img_url,color,price,list_price,title,category
6,B0799MZ1BX,https://www.amazon.in/Escaro-Black-Formal-Ankle-ES1106KB_Black_6/dp/B0799MZ1BX/ref=sr_1_3102?s=shoes&ie=UTF8&qid=1530341841&sr=1-3102,https://images-eu.ssl-images-amazon.com/images/I/41k73Wzb%2BaL.jpg,Black,1549,2599,Escaro Men's Formal Ankle Boots,fw
1,B017KIDDB2,https://www.amazon.in/Action-Campus-3G181A-Orange-Synthetic/dp/B017KIDDB2/ref=sr_1_15809?s=shoes&ie=UTF8&qid=1530342261&sr=1-15809,https://images-eu.ssl-images-amazon.com/images/I/51g8WXYxDVL.jpg,multicolour,1499,1499,'Action Campus 3G181A Mens Synthetic Casual Shoes,fw
1,B075TDPYG8,https://www.amazon.in/Chevit-131-Denim-Sneakers-Casual/dp/B075TDPYG8/ref=sr_1_1369?s=shoes&ie=UTF8&qid=1530341788&sr=1-1369,https://images-eu.ssl-images-amazon.com/images/I/51FtjreS4PL.jpg,Blue,425,499,Chevit Men's 131 Denim Sneakers (Casual shoes),fw
2,B01AWJ21I2,https://www.amazon.in/Vans-Unisex-Gingham-Leather-Sneakers/dp/B01AWJ21I2/ref=sr_1_14643?s=shoes&ie=UTF8&qid=1530342221&sr=1-14643,https://images-eu.ssl-images-amazon.com/images/I/414JFzTIarL.jpg,Twill & Gingham  Dress Blues and True White,4999,4299,'Vans Unisex Sk8-Hi Reissue Leather Sneakers,fw
2,B076ZDZLJ7,https://www.amazon.in/Shoe-Mate-Fashionable-Stylish-Sneakers/dp/B076ZDZLJ7/ref=sr_1_16411?s=shoes&ie=UTF8&qid=1530342281&sr=1-16411,https://images-eu.ssl-images-amazon.com/images/I/310KGZNS7rL.jpg,Grey,499,499,'Shoe Mate New Latest Fashionable Stylish Casual Sneakers Casual Party Denim Shoes For Men And Boys,fw
2,B0734TDF59,https://www.amazon.in/SCATCHITE-Footwear-Sneakers-Casual-shoes/dp/B0734TDF59/ref=sr_1_16865?s=shoes&ie=UTF8&qid=1530342298&sr=1-16865,https://images-eu.ssl-images-amazon.com/images/I/416GH735mIL.jpg,Blue,1499,1499,'SCATCHITE Pack Of 3 Footwear Sneakers & Casual shoes,fw
2,B01LZBU8NS,https://www.amazon.in/Escaro-Black-Casual-Sneakers-ES5012BK_Black_6/dp/B01LZBU8NS/ref=sr_1_10149?s=shoes&ie=UTF8&qid=1530342070&sr=1-10149,https://images-eu.ssl-images-amazon.com/images/I/41vvyR2oW-L.jpg,Black,1349,1499,Escaro Men's Casual Sneakers (Slip On),fw
1,B07B94JWWC,https://www.amazon.in/Chevit-Casual-Outdoor-Loafers-Sneakers/dp/B07B94JWWC/ref=sr_1_7205?s=shoes&ie=UTF8&qid=1530341973&sr=1-7205,https://images-eu.ssl-images-amazon.com/images/I/411ixDoo3wL.jpg,Red,2495,2495,Chevit Men's Smart Pack of 5 Casual Outdoor Loafers with Sneakers,fw
2,B073VMKBGX,https://www.amazon.in/Red-Tape-Mens-Grey-Sneakers/dp/B073VMKBGX/ref=sr_1_8304?s=shoes&ie=UTF8&qid=1530342008&sr=1-8304,https://images-eu.ssl-images-amazon.com/images/I/41A7j3VspiL.jpg,Grey,1997,3995,Red Tape Men's Grey Sneakers - 7 UK/India (41 EU) (RTE0258),fw
2,B01CP92XSK,https://www.amazon.in/Products-Mens-White-Sneakers-Uk/dp/B01CP92XSK/ref=sr_1_8575?s=shoes&ie=UTF8&qid=1530342018&sr=1-8575,https://images-eu.ssl-images-amazon.com/images/I/31vHSD%2BIVkL.jpg,White,1099,2100,'M & M White Sneakers,fw
1,B01M28XEPM,https://www.amazon.in/Paso-Mens-Black-Casual-Shoes/dp/B01M28XEPM/ref=sr_1_15506?s=shoes&ie=UTF8&qid=1530342251&sr=1-15506,https://images-eu.ssl-images-amazon.com/images/I/41BFdeDT%2BgL.jpg,Blue,499,1949,EL PASO Men's Artificial Leather Blue Exquisite Blue Casual Shoes,fw
2,B01N592QT8,https://www.amazon.in/Knotty-Derby-Alecto-Casual-Sneakers/dp/B01N592QT8/ref=sr_1_12772?s=shoes&ie=UTF8&qid=1530342158&sr=1-12772,https://images-eu.ssl-images-amazon.com/images/I/41OC23wRqbL.jpg,Blue,899,2488,Knotty Derby Men's Alecto Casual Sneakers,fw
1,B01M1H8FHM,https://www.amazon.in/Blue-Mens-Navy-Casual-Shoes/dp/B01M1H8FHM/ref=sr_1_17628?s=shoes&ie=UTF8&qid=1530342324&sr=1-17628,https://images-eu.ssl-images-amazon.com/images/I/417v2ggUVsL.jpg,Navy,499,499,Blue Pop Casual Partywear Synthetic Leather Shoes For Men's And Boys,fw
1,B0718W53MD,https://www.amazon.in/WORLD-WEAR-FOOTWEAR-Loafers-Mocassins/dp/B0718W53MD/ref=sr_1_17035?s=shoes&ie=UTF8&qid=1530342303&sr=1-17035,https://images-eu.ssl-images-amazon.com/images/I/51Nbn%2BjQb3L.jpg,Gray,499,499,WORLD WEAR FOOTWEAR Men's Canvas Gray Loafers & Mocassins Casual Shoes-8,fw
4,B074QL4R8G,https://www.amazon.in/Ruosh-Mens-Tan-Loafers-1121045270/dp/B074QL4R8G/ref=sr_1_10640?s=shoes&ie=UTF8&qid=1530342086&sr=1-10640,https://images-eu.ssl-images-amazon.com/images/I/41aMxY4Y6DL.jpg,Tan,3999,5490,Ruosh Men's Loafers,fw
